NUMERO;NOME;BRINCOELETRONICO;SEXO;DTNASCIMENTO;CDCATEGORIAINICIAL;ORIGEM;NOME_1;RACA1;PERCENTUAL1;
403;Bitola;;F;01/07/2008;5;nascido;Vaca;Holandês;100;
404;Blenda;;F;07/07/2008;5;nascido;Vaca;Holandês;100;
405;Boa;;F;13/07/2008;5;nascido;Vaca;Holandês;100;
406;Boaba;;F;14/07/2008;5;nascido;Vaca;Holandês;100;
407;Boana;;F;21/07/2008;5;nascido;Vaca;Holandês;100;
1836;Salgada;;F;16/02/2023;5;nascido;Vaca;Holandês;100;
229;Piloto;;M;14/05/2021;1;nascido;Em crescimento;Holandês;100;
408;Boas;;F;25/07/2008;5;nascido;Vaca;Holandês;100;
409;Bobina;;F;26/07/2008;5;nascido;Vaca;Holandês;100;
410;Boca;;F;28/07/2008;5;nascido;Vaca;Holandês;100;
411;Boemia;;F;03/08/2008;5;nascido;Vaca;Holandês;100;
412;Boia;;F;10/08/2008;5;nascido;Vaca;Holandês;100;
413;Boina;;F;12/08/2008;5;nascido;Vaca;Holandês;100;
414;Bola;;F;15/08/2008;5;nascido;Vaca;Holandês;100;
415;Boleta;;F;15/08/2008;5;nascido;Vaca;Holandês;100;
416;Bolha;;F;21/08/2008;5;nascido;Vaca;Holandês;100;
417;Bolina;;F;26/08/2008;5;nascido;Vaca;Holandês;100;
1553;Pesca;;F;17/05/2021;5;nascido;Vaca;Holandês;100;
418;Bolita;;F;29/08/2008;5;nascido;Vaca;Holandês;100;
419;Bolsa;;F;29/08/2008;5;nascido;Vaca;Holandês;100;
420;Bomba;;F;08/09/2008;5;nascido;Novilha;Holandês;100;
421;Bonari;;F;11/09/2008;5;nascido;Novilha;Holandês;100;
422;Boneca;;F;11/09/2008;5;nascido;Vaca;Holandês;100;
423;Bonita;;F;19/09/2008;5;nascido;Vaca;Holandês;100;
424;Borda;;F;19/09/2008;5;nascido;Vaca;Holandês;100;
425;Bota;;F;30/09/2008;5;nascido;Vaca;Holandês;100;
426;Botica;;F;04/10/2008;5;nascido;Vaca;Holandês;100;
427;Botija;;F;15/10/2008;5;nascido;Novilha;Holandês;100;
428;Branca;;F;05/11/2008;5;nascido;Em crescimento;Holandês;100;
429;Bravia;;F;10/11/2008;5;nascido;Em crescimento;Holandês;100;
430;Briosa;;F;15/11/2008;5;nascido;Em crescimento;Holandês;100;
431;Brisa;;F;28/11/2008;5;nascido;Novilha;Holandês;100;
432;Bruma;;F;03/12/2008;5;nascido;Em crescimento;Holandês;100;
433;Buara;;F;05/12/2008;5;nascido;Vaca;Holandês;100;
434;Buji;;F;09/12/2008;5;nascido;Em crescimento;Holandês;100;
435;Caba;;F;08/01/2009;5;nascido;Novilha;Holandês;100;
436;Cabaia;;F;13/02/2009;5;nascido;Em crescimento;Holandês;100;
437;Cabana;;F;24/02/2009;5;nascido;Em crescimento;Holandês;100;
438;Cafofa;;F;27/02/2009;6;nascido;Vaca;Holandês;100;
439;Caiaba;;F;28/02/2009;5;nascido;Em crescimento;Holandês;100;
440;Caicai;;F;07/03/2009;6;nascido;Vaca;Holandês;100;
441;Caiena;;F;09/03/2009;5;nascido;Em crescimento;Holandês;100;
442;Calada;;F;15/03/2009;5;nascido;Vaca;Holandês;100;
443;Calma;;F;15/03/2009;6;nascido;Novilha;Holandês;100;
444;Calota;;F;31/03/2009;5;nascido;Vaca;Holandês;100;
445;Calva;;F;04/04/2009;5;nascido;Vaca;Holandês;100;
446;Campa;;F;07/04/2009;5;nascido;Vaca;Holandês;100;
447;Cana;;F;09/04/2009;5;nascido;Em crescimento;Holandês;100;
448;Canana;;F;09/04/2009;5;nascido;Vaca;Holandês;100;
449;Canela;;F;12/04/2009;5;nascido;Vaca;Holandês;100;
450;Caneta;;F;12/04/2009;5;nascido;Vaca;Holandês;100;
451;Capa;;F;15/04/2009;5;nascido;Vaca;Holandês;100;
453;Capina;;F;17/04/2009;5;nascido;Vaca;Holandês;100;
452;Capela;;F;17/04/2009;6;nascido;Vaca;Holandês;100;
454;Capota;;F;17/04/2009;5;nascido;Vaca;Holandês;100;
455;Carena;;F;18/04/2009;5;nascido;Novilha;Holandês;100;
456;Careta;;F;20/04/2009;5;nascido;Em crescimento;Holandês;100;
457;Carga;;F;21/04/2009;5;nascido;Vaca;Holandês;100;
458;Cariba;;F;21/04/2009;5;nascido;Vaca;Holandês;100;
459;Carimã;;F;26/04/2009;6;nascido;Vaca;Holandês;100;
460;Caripé;;F;26/04/2009;5;nascido;Em crescimento;Holandês;100;
461;Carola;;F;27/04/2009;6;nascido;Vaca;Holandês;100;
462;Carpa;;F;29/04/2009;5;nascido;Vaca;Holandês;100;
463;Carta;;F;06/05/2009;5;nascido;Vaca;Holandês;100;
464;Cati;;F;06/05/2009;5;nascido;Vaca;Holandês;100;
465;Catita;;F;14/05/2009;5;nascido;Vaca;Holandês;100;
466;Catuá;;F;15/05/2009;6;nascido;Vaca;Holandês;100;
467;Cauaba;;F;16/05/2009;6;nascido;Vaca;Holandês;100;
468;Cava;;F;16/05/2009;5;nascido;Em crescimento;Holandês;100;
469;Caxa;;F;18/05/2009;5;nascido;Em crescimento;Holandês;100;
470;Caxeta;;F;18/05/2009;5;nascido;Em crescimento;Holandês;100;
471;Cazuza;;F;10/06/2009;6;nascido;Vaca;Holandês;100;
472;Cedula;;F;11/06/2009;5;nascido;Vaca;Holandês;100;
473;Cereja;;F;12/06/2009;5;nascido;Vaca;Holandês;100;
474;Cevada;;F;13/06/2009;5;nascido;Em crescimento;Holandês;100;
475;Cha;;F;13/06/2009;5;nascido;Em crescimento;Holandês;100;
476;Chama;;F;15/06/2009;5;nascido;Em crescimento;Holandês;100;
477;Chara;;F;15/06/2009;5;nascido;Vaca;Holandês;100;
478;Chave;;F;28/06/2009;5;nascido;Vaca;Holandês;100;
479;Chila;;F;15/07/2009;5;nascido;Vaca;Holandês;100;
480;Ciara;;F;26/07/2009;5;nascido;Em crescimento;Holandês;100;
481;Cica;;F;07/08/2009;5;nascido;Novilha;Holandês;100;
482;Cigana;;F;08/08/2009;5;nascido;Novilha;Holandês;100;
483;Cigarra;;F;16/08/2009;6;nascido;Vaca;Holandês;100;
587;Energia;;F;27/03/2011;6;nascido;Vaca;Holandês;100;
485;Cinara;;F;07/09/2009;6;nascido;Vaca;Holandês;100;
486;Cítara;;F;08/09/2009;6;nascido;Vaca;Holandês;100;
487;Clara;;F;10/09/2009;6;nascido;Novilha;Holandês;100;
488;Clave;;F;15/09/2009;6;nascido;Vaca;Holandês;100;
489;Cobaia;;F;18/09/2009;6;nascido;Vaca;Holandês;100;
490;Coca;;F;18/09/2009;6;nascido;Vaca;Holandês;100;
492;Coluna;;F;11/10/2009;6;nascido;Vaca;Holandês;100;
493;Concha;;F;16/10/2009;6;nascido;Vaca;Holandês;100;
494;Conga;;F;22/10/2009;6;nascido;Vaca;Holandês;100;
491;Cola;;F;20/09/2009;6;nascido;Novilha;Holandês;100;
495;Corda;;F;15/11/2009;5;nascido;Novilha;Holandês;100;
496;Creta;;F;15/11/2009;6;nascido;Vaca;Holandês;100;
497;Crente;;F;23/11/2009;6;nascido;Novilha;Holandês;100;
498;Cria;;F;07/12/2009;5;nascido;Novilha;Holandês;100;
499;Crista;;F;09/12/2009;5;nascido;Novilha;Holandês;100;
500;Cuba;;F;30/12/2009;5;nascido;Vaca;Holandês;100;
501;Cuca;;F;30/12/2009;5;nascido;Vaca;Holandês;100;
